OTU	8121310M1	8121310M2	8121311M1	8121311M2	8121312M1	8121313M1	8121314M1	8121314M2	8121317M1	8121317M2	812132M1	812132M2	8121320M1	8121321M1	8121322M1	812133M1	812134M1	812136M2	812137M1	812137M2	812138M1	812139M1	812139M2
seq7989	1.0	6.0	1.0	3.0	0.0	0.0	1.0	6.0	0.0	4.0	0.0	3.0	0.0	2.0	1.0	0.0	0.0	9.0	9.0	51.0	3.0	1.0	4.0
seq7191	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
seq2479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seq6992	0.0	6.0	0.0	3.0	0.0	1.0	0.0	8.0	3.0	4.0	0.0	1.0	2.0	3.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0
seq3943	0.0	3.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
seq59732	0.0	11.0	2.0	14.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	10.0	7.0	3.0	0.0	1.0	1.0	1.0	2.0	4.0	2.0	0.0	1.0
seq31153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
seq20922	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
seq5202	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	2.0	15.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
seq36269	4.0	22.0	11.0	22.0	2.0	2.0	0.0	1.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	0.0	4.0	1.0	3.0	5.0	6.0	4.0	6.0
seq4212	7.0	27.0	8.0	39.0	0.0	3.0	1.0	5.0	0.0	0.0	5.0	44.0	4.0	8.0	6.0	4.0	16.0	3.0	10.0	37.0	8.0	1.0	7.0
seq2271	1.0	1.0	9.0	1.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
seq143	116.0	676.0	182.0	596.0	40.0	136.0	52.0	115.0	55.0	124.0	987.0	6326.0	161.0	192.0	48.0	798.0	1897.0	170.0	183.0	692.0	246.0	97.0	294.0
seq7865	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	11.0	21.0	4.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
seq142822	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
