OTU_ID	M0	M1.5	M10	M11	M12	M13	M14	M15	M16	M17	M19	M20	M21	M22	M3.1	M3.2	M4	M5	M6	M7	M8.1	M8.2	M9	MEB	MSB
ID0009331M	0	0	0	0	0	0	0	0	0	0	0	0	55	5	0	0	0	0	0	0	0	0	0	0	0
ID0009332M	0	0	3	1	1	2	1	3	2	0	9	0	0	0	2	0	0	4	0	1	0	0	0	0	0
ID0009335M	0	0	0	0	2	2	6	0	2	10	0	4	0	7	0	0	0	0	3	1	0	0	0	18	0
ID0009342M	0	10	0	0	0	0	0	0	0	0	0	0	0	23	5	6	4	0	0	0	1	0	0	0	0
ID0009346M	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	13	0
ID0009351M	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ID0009352M	3	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	9	15	13	0	0	0	0	0	0
ID0009354M	3	3	13	2	3	0	1	3	3	0	8	4	0	156	10	2	6	9	8	20	14	6	19	57	0
ID0009357M	1	0	0	2	1	1	3	2	3	10	2	6	5	4	3	6	11	3	1	1	2	0	2	3	15
ID0009359M	0	0	0	0	0	2	0	2	2	1	0	12	0	7	0	0	0	0	0	0	0	0	0	0	0
ID0009362M	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID0009368M	0	0	0	1	0	4	3	7	5	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID0009374M	6	5	0	0	0	0	0	0	0	0	0	0	0	0	17	26	21	13	1	0	0	0	0	40	0
ID0009383M	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID0009387M	1	0	0	0	0	0	2	0	3	3	0	0	0	4	0	1	0	1	2	2	1	1	0	0	0
ID0009392M	2	2	0	1	2	1	1	1	1	0	1	2	0	2	0	1	2	2	0	0	0	0	1	0	0
ID0009402M	0	0	0	0	1	0	1	2	10	3	31	11	17	16	0	0	0	0	0	0	0	0	0	0	0
ID0009403M	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID0009407M	0	0	2	2	0	1	1	0	0	1	0	0	0	32	1	0	2	7	5	1	6	5	4	0	0
ID0009408M	0	0	2	0	0	0	0	0	0	0	0	0	0	13	0	3	1	5	2	0	2	0	0	0	0
ID0009409M	2	2	2	1	5	3	0	0	0	0	3	1	0	62	3	1	8	0	5	5	2	4	4	19	0
ID0009412M	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	1	0	0
ID0009422M	0	1	1	1	1	0	0	1	0	0	10	0	0	0	3	0	0	4	0	0	0	1	0	0	0
ID0009431M	1	1	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0
ID0009439M	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ID0009441M	0	0	0	0	0	0	1	1	2	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ID0009442M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ID0009448M	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2	2	1	0	0	0	0	0	0	7	0
ID0009451M	0	0	1	0	1	0	1	0	2	1	15	9	0	95	1	3	0	2	4	0	3	2	5	0	0
ID0009456M	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	42	0
ID0009457M	0	0	3	2	0	0	0	0	1	0	0	0	0	51	1	2	0	11	3	0	6	0	0	0	0
ID0009458M	1	16	0	4	4	0	0	0	0	0	0	0	0	0	11	22	0	30	9	46	21	5	13	0	0
ID0009459M	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID0009463M	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	23	0
ID0009464M	0	0	0	0	0	0	1	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ID0009467M	0	0	0	1	0	0	0	0	0	0	4	0	0	78	0	2	0	0	2	2	2	2	2	0	0
ID0009472M	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	2	0	0	0	0	0	0	0	0	0
ID0009475M	4	1	0	0	0	0	0	0	2	1	0	4	0	0	6	3	6	1	2	2	0	1	7	0	0
ID0009479M	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	0	0	42	0
ID0009485M	0	0	3	2	2	2	2	4	1	2	0	0	0	3	0	1	3	3	1	0	4	0	1	3	0
ID0009487M	0	0	1	0	0	0	0	0	0	0	0	0	0	38	1	0	0	1	0	0	0	0	1	0	0
ID0009490M	0	0	0	1	0	1	0	0	6	0	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ID0009498M	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID0009501M	0	0	1	3	6	11	10	12	28	46	29	32	0	3	0	4	0	1	0	0	1	0	0	0	0
ID0009513M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ID0009519M	4	6	3	2	4	1	2	1	2	6	0	5	0	3	12	3	19	9	8	1	5	11	9	2	0
ID0009520M	0	0	1	16	5	2	3	5	1	0	0	3	0	1	0	3	0	1	3	6	5	2	13	0	0
ID0009530M	0	4	0	1	1	2	1	6	4	0	10	10	0	40	6	0	2	3	2	1	3	2	3	0	0
ID0009534M	1	0	0	1	0	0	0	0	0	1	0	4	0	10	2	0	0	1	2	0	1	0	0	0	0
ID0009540M	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID0009550M	1	0	0	0	0	0	1	1	0	0	0	2	0	0	6	3	7	3	3	0	0	0	0	0	0
ID0009556M	0	0	0	0	0	0	0	0	0	0	0	0	58	2	0	1	0	1	0	0	0	0	0	0	0
ID0009557M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ID0009560M	1	0	0	0	0	0	0	0	0	0	0	1	0	146	0	0	0	0	0	0	2	0	0	0	0
ID0009562M	0	0	0	0	0	0	0	0	0	0	5	0	0	9	0	0	0	0	0	0	0	0	0	0	0
ID0009563M	0	0	0	1	1	0	1	0	0	0	0	0	0	131	1	2	0	3	0	1	7	1	0	0	0
ID0009567M	0	0	2	0	0	0	0	0	0	0	0	0	0	7	0	8	1	2	7	1	0	1	1	0	0
ID0009572M	0	1	1	0	0	0	0	0	6	0	1	0	0	60	1	1	1	3	0	4	2	1	1	0	0
ID0009577M	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	13	0	2	5	1	17	0	0
ID0009579M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ID0009586M	0	0	0	0	0	0	0	0	0	0	0	4	0	7	0	0	0	0	1	0	0	0	0	22	0
ID0009593M	0	0	1	0	0	0	0	1	0	0	0	1	0	5	3	3	5	17	1	6	4	11	10	0	0
ID0009603M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ID0009609M	0	0	3	0	1	0	0	0	0	0	0	5	0	63	0	2	0	3	2	2	14	5	8	9	0
ID0009612M	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	2	0	14	0
ID0009617M	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0
ID0009626M	6	0	49	4	2	0	3	0	0	6	0	0	0	0	7	4	0	3	3	7	6	11	20	0	0
ID0009629M	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	20	0	0	0	0	0	1	1	0	0
ID0009630M	0	0	0	0	0	0	5	1	25	9	12	32	0	103	2	0	2	0	0	0	0	0	3	0	0
ID0009637M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0
ID0009648M	0	0	0	0	0	0	0	1	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0
ID0009649M	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ID0009655M	0	0	0	1	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID0009660M	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0
ID0009664M	0	0	1	1	0	0	0	0	0	0	0	0	0	106	0	1	5	1	5	1	9	10	1	0	0
ID0009678M	0	0	0	0	0	0	0	0	0	0	0	0	0	23	1	0	0	0	0	0	1	0	2	14	0
ID0009692M	0	0	1	1	0	0	0	1	0	1	0	3	0	0	0	0	0	1	1	0	0	0	0	175	0
ID0009705M	0	0	0	0	0	0	0	0	0	0	21	9	0	93	0	1	2	1	0	4	5	1	0	0	0
ID0009708M	3	1	0	0	0	0	0	0	0	0	0	0	0	0	4	9	2	1	0	3	0	0	0	0	0
ID0009711M	0	0	0	0	0	0	0	0	1	2	4	0	24	0	0	0	0	0	0	0	1	0	0	0	0
ID0009713M	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID0009714M	4	1	3	0	0	0	2	0	0	0	0	1	0	0	5	7	7	57	0	4	0	0	0	0	0
ID0009716M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ID0009717M	0	0	0	1	0	5	2	4	13	0	6	10	0	0	0	0	0	1	3	0	0	0	1	0	0
ID0009719M	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	2	1	0	0	0	2	0	17	0
ID0009720M	0	0	3	0	2	0	0	0	1	0	0	1	0	56	0	0	2	0	1	0	0	0	0	0	0
ID0009721M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ID0009731M	0	1	0	0	0	1	1	1	0	0	0	0	0	54	0	0	0	2	2	0	2	0	0	0	0
ID0009741M	0	0	0	0	0	0	4	2	9	1	11	28	0	9	0	0	0	0	0	0	0	0	0	0	0
ID0009752M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0
ID0009754M	0	0	0	0	0	0	0	0	0	0	0	2	0	38	0	0	0	2	0	0	0	0	1	1	0
ID0009767M	0	0	0	0	1	1	0	0	0	3	15	7	0	67	3	0	10	0	2	4	3	2	2	0	0
ID0009781M	0	1	0	0	0	0	0	0	0	0	0	0	0	22	1	3	0	1	2	0	0	1	0	0	0
ID0009787M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	11	0	0
ID0009797M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
ID0009798M	0	0	0	0	0	0	0	0	0	0	2	0	0	12	0	1	0	1	0	0	0	0	1	0	0
ID0009805M	0	0	0	1	0	0	0	0	3	1	3	0	4	37	0	0	0	1	0	0	0	0	0	59	0
ID0009809M	0	0	0	0	0	0	2	5	28	14	15	18	0	13	0	0	0	0	0	0	2	0	0	0	0
ID0009813M	0	0	0	0	0	0	0	0	0	6	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
ID0009825M	2	0	0	1	1	2	0	1	0	4	0	0	0	0	0	2	0	0	0	0	0	3	3	0	0
ID0009826M	0	0	0	0	1	13	17	35	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ID0009829M	0	0	0	3	1	0	0	0	0	0	0	0	0	11	0	3	0	0	0	2	1	2	5	0	0
ID0009830M	0	0	6	1	0	0	0	0	0	0	0	0	0	34	0	0	6	3	9	6	10	2	14	0	0
ID0009839M	0	0	0	3	5	8	5	7	2	0	2	2	0	0	6	2	3	4	0	3	0	0	0	41	0
ID0009845M	0	0	0	0	1	3	1	0	0	0	10	3	0	3	0	0	0	3	0	0	0	0	0	0	0
ID0009849M	0	0	0	0	0	0	0	0	1	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0
ID0009851M	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID0009852M	3	5	0	0	0	0	0	0	0	0	0	0	0	0	10	25	6	2	3	0	0	0	0	0	0
ID0009863M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID0009868M	0	0	0	2	1	0	0	0	0	0	0	0	0	7	1	0	4	0	4	5	10	5	13	0	0
ID0009869M	0	0	0	0	0	0	1	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
ID0009871M	0	0	0	0	0	1	2	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID0009873M	6	8	4	2	1	0	0	0	0	0	0	0	0	0	24	32	29	17	2	0	1	2	0	0	0
ID0009874M	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	0	1	0	0	0	0	2	0	0	0
ID0009881M	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	4	0	3	9	0	0
ID0009885M	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	2	2	0	24	0
ID0009886M	40	9	0	0	0	0	0	0	0	0	0	0	0	3	11	8	6	3	0	2	1	1	0	0	0
ID0009888M	0	0	6	0	1	2	0	0	2	13	0	3	0	7	0	0	0	2	0	0	0	0	0	0	0
ID0009889M	0	0	0	0	0	1	0	0	0	0	0	0	0	32	1	0	0	1	1	0	3	1	2	0	0
ID0009893M	0	2	3	1	2	1	2	6	7	16	8	4	0	0	24	9	8	8	5	2	0	2	12	0	0
ID0009896M	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	3	0	0	0	17
ID0009897M	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ID0009904M	0	0	0	1	2	3	0	1	0	0	0	0	0	4	1	0	0	0	1	0	0	4	0	0	0
ID0009920M	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID0009921M	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	1	1	0	0	0	0	0	0
ID0009930M	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	0	0	0	27	0
ID0009932M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	61	0
ID0009933M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID0009936M	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0
ID0009953M	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ID0009956M	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0
ID0009969M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0
ID0009979M	0	0	0	2	1	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0
ID0009980M	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID0009988M	0	0	0	2	0	0	0	0	0	0	4	1	0	4	1	3	2	1	0	0	2	0	3	0	0
ID0009989M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0
ID0009992M	1	0	5	4	0	0	0	2	0	0	0	0	0	42	5	3	0	2	2	3	5	3	1	21	0
ID0009993M	0	0	0	0	0	1	0	1	0	0	0	0	0	192	1	3	5	2	0	1	6	5	13	0	0
ID0010004M	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	3	1	2	0	0	3	62	0
ID0010005M	12	3	0	3	0	1	1	0	1	0	0	0	0	17	17	12	16	2	0	0	1	0	5	20	0
ID0010008M	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ID0010010M	0	0	0	0	1	0	1	1	0	3	0	3	0	2	0	0	0	0	0	0	0	0	0	22	0
ID0010021M	3	1	4	6	6	6	2	3	1	16	0	0	0	0	4	0	2	3	4	3	7	9	24	0	0
ID0010029M	3	1	6	0	0	0	0	0	4	0	3	0	0	34	4	5	1	0	0	1	4	3	1	0	0
ID0010032M	0	0	0	0	0	2	1	2	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
ID0010035M	0	0	0	0	1	0	0	1	4	4	10	39	0	2	0	0	0	0	0	0	0	0	0	0	0
ID0010036M	4	3	5	0	0	0	0	0	0	0	6	0	0	4	5	1	2	8	1	0	0	3	0	0	0
ID0010039M	0	1	0	0	0	0	1	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	0	0
ID0010046M	8	5	2	2	1	0	0	0	0	0	0	1	0	0	33	8	3	31	3	0	3	3	4	0	0
ID0010050M	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0
ID0010051M	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	2	1	0	0	1	0	0	0	0
ID0010052M	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
ID0010053M	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	1	0	0	0	0	0	0	0	0	0
ID0010066M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	62	0
ID0010078M	1	0	1	0	0	0	0	0	0	0	0	0	0	13	0	1	0	3	0	4	1	0	1	77	0
ID0010080M	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ID0010081M	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0
ID0010093M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
ID0010099M	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0
ID0010100M	0	0	7	4	0	4	0	0	1	0	0	0	0	4	2	0	5	3	16	6	6	8	4	0	0
ID0010101M	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID0010108M	0	0	2	3	0	0	0	0	4	0	0	0	0	30	2	0	4	3	0	0	1	1	11	0	0
ID0010120M	2	1	10	10	6	0	4	8	2	3	8	0	0	107	1	0	4	2	4	2	11	4	3	0	0
ID0010125M	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
ID0010129M	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ID0010134M	0	0	0	0	0	0	1	0	1	3	0	2	0	14	2	1	0	2	0	2	9	1	0	0	0
ID0010136M	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
ID0010142M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	16	7	0	1	0	0	0
ID0010145M	0	0	2	0	1	0	0	1	0	3	0	0	0	67	0	0	0	0	0	1	0	2	0	0	0
ID0010154M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	1	0	0
ID0010155M	0	0	0	3	3	4	6	8	15	0	11	11	0	1	1	0	0	2	5	4	6	1	0	0	0
ID0010156M	0	0	3	1	0	0	0	0	0	0	0	0	0	20	0	0	0	0	1	0	9	0	0	0	0
ID0010159M	0	0	1	0	0	0	0	0	0	0	0	0	0	11	1	0	1	0	1	0	0	0	0	0	0
ID0010167M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
ID0010173M	0	0	0	1	0	0	0	0	0	0	0	0	44	9	0	0	0	0	0	0	0	0	0	0	0
ID0010177M	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	54	0
ID0010178M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
ID0010182M	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ID0010184M	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0
ID0010194M	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0
ID0010198M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ID0010200M	0	0	2	1	0	0	1	0	0	0	5	0	0	1	1	4	1	2	1	7	5	1	2	14	0
ID0010202M	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	1	14	3	3	4	8	4	0	0
ID0010203M	0	0	3	11	14	9	9	1	2	0	0	3	0	0	1	0	0	2	3	3	1	1	0	0	0
ID0010212M	0	0	0	0	0	0	0	0	6	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ID0010219M	0	0	21	1	3	0	1	2	0	0	0	0	0	0	0	0	0	0	19	3	2	9	8	0	0
ID0010220M	0	0	1	1	4	0	1	1	2	2	0	2	0	11	4	0	0	1	1	0	1	3	4	0	0
ID0010221M	1	2	2	1	0	0	0	0	0	1	1	1	0	21	5	5	4	10	12	2	1	3	5	0	0
ID0010225M	0	0	0	0	0	0	0	0	0	0	0	0	0	23	2	0	0	0	0	0	0	0	0	0	0
ID0010226M	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0
ID0010227M	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	3	17	50	6	4	0	1	2	0	0
ID0010230M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	132	0
ID0010231M	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ID0010242M	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ID0010245M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID0010246M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID0010255M	0	0	0	0	0	0	0	0	0	0	0	0	0	32	1	1	2	0	0	0	0	0	0	0	0
ID0010259M	1	18	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	5	5	0	0	0	1	57	0
ID0010268M	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	3	0	54	0	77	0	70	1	0	0
ID0010271M	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0
ID0010302M	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	2	0	0	0	0	0	0
ID0010303M	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ID0010314M	1	0	2	1	0	0	0	0	0	0	0	0	0	24	0	0	0	1	2	0	0	0	7	0	0
ID0010318M	0	0	1	1	2	0	0	0	0	0	2	0	0	67	0	1	0	0	2	2	1	3	1	0	0
ID0010322M	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0
ID0010325M	17	17	0	0	0	0	0	0	0	0	0	0	0	0	13	37	15	2	0	0	0	0	0	0	0
ID0010347M	0	0	0	0	1	2	4	2	5	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0
ID0010357M	3	0	0	0	0	0	1	1	1	4	7	2	0	3	3	3	1	2	3	1	1	3	5	0	0
ID0010363M	8	4	0	0	0	0	0	0	0	0	0	0	0	4	14	11	13	12	3	5	0	7	0	0	0
ID0010370M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0
ID0010372M	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ID0010379M	0	0	0	0	10	0	0	0	0	0	0	0	0	5	0	0	0	0	43	0	0	0	0	0	0
ID0010387M	0	0	0	0	0	1	0	4	5	17	22	8	81	18	0	0	0	0	0	0	0	0	0	0	0
ID0010399M	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ID0010404M	0	0	0	0	0	0	0	0	3	0	24	6	0	2	0	0	0	0	0	0	0	0	0	0	0
ID0010419M	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	3	0	2	0	0	1	0	0	21	0
ID0010426M	0	0	0	0	0	2	0	0	3	4	4	3	0	2	0	0	0	0	0	0	0	0	0	0	0
ID0010428M	13	29	0	0	0	0	0	0	0	0	0	0	0	0	56	45	0	0	0	0	0	0	0	0	0
ID0010442M	0	0	0	2	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0
ID0010447M	3	1	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	1	1	3	1	1	2	0	0
ID0010452M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0
ID0010461M	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID0010465M	0	0	0	4	1	1	1	0	2	0	6	0	0	3	3	0	1	1	0	0	0	1	0	15	0
ID0010469M	0	0	8	0	4	0	0	0	0	0	0	0	0	15	3	1	2	0	1	2	0	3	12	0	0
ID0010471M	2	2	9	6	12	7	2	6	6	24	0	4	88	14	2	7	4	3	5	4	10	4	9	0	0
ID0010473M	0	0	1	2	0	2	0	1	0	0	0	0	0	0	7	8	5	1	1	1	0	2	0	0	0
ID0010490M	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	2	0	0	0	0	0	0	0	0	0
ID0010497M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID0010498M	0	0	1	1	0	0	1	0	0	2	3	11	0	16	0	0	0	1	0	0	0	0	3	0	0
ID0010500M	1	2	8	4	1	1	1	0	0	9	6	5	0	22	7	7	4	6	19	20	11	26	3	0	0
ID0010501M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
ID0010505M	1	0	0	1	2	1	4	2	2	11	17	12	0	10	1	2	1	0	0	0	0	0	0	0	0
ID0010506M	0	11	0	0	0	0	0	0	0	0	0	0	0	6	2	11	0	0	0	0	0	0	3	0	0
ID0010508M	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	3	0	3	5	0
ID0010509M	1	0	0	0	1	0	4	1	0	0	0	3	0	2	1	5	0	1	3	0	7	1	1	0	0
ID0010516M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0
ID0010527M	0	0	0	3	0	1	0	1	6	19	13	4	0	0	0	0	0	2	0	0	0	0	0	0	0
ID0010536M	0	0	0	0	0	3	0	0	5	0	0	0	36	9	2	0	5	0	0	2	0	0	0	0	0
ID0010541M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	17	3	0	0
ID0010545M	0	0	0	0	0	0	0	0	0	2	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0
ID0010547M	0	0	1	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	3	2	0	3	0	0
ID0010548M	0	0	0	0	0	0	0	0	0	0	0	5	0	47	0	0	0	0	1	0	0	0	3	13	0
ID0010562M	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
